InternalID,StudentID,FirstName,LastName,CourseID,Year,Gender
2623,2024-2623,W,R,4,1,O
2622,2024-2622,Z,V,3,5,M
2621,2024-2621,V,J,3,5,F
2620,2024-2620,D,B,1,5,O
2619,2024-2619,H,W,3,2,F
2618,2024-2618,D,C,3,4,F
2617,2024-2617,Z,T,1,3,M
2616,2024-2616,D,Y,2,1,F
2615,2024-2615,U,L,3,5,O
2614,2024-2614,G,X,4,1,F
2613,2024-2613,F,X,4,3,M
2612,2024-2612,K,W,4,5,M
2611,2024-2611,Y,I,4,2,M
2610,2024-2610,H,E,2,2,F
2609,2024-2609,W,F,2,2,F
2608,2024-2608,Q,J,4,3,F
2607,2024-2607,L,S,4,1,F
2606,2024-2606,W,K,2,2,M
2605,2024-2605,M,U,3,5,M
2604,2024-2604,V,N,4,4,M
2603,2024-2603,F,V,1,4,M
2602,2024-2602,D,X,2,5,O
2601,2024-2601,N,Z,3,3,O
2600,2024-2600,C,B,2,5,F
2599,2024-2599,Z,X,3,1,O
2598,2024-2598,K,T,1,2,M
2597,2024-2597,F,Y,2,3,M
2596,2024-2596,L,Z,3,4,M
2595,2024-2595,W,Y,4,2,O
2594,2024-2594,K,L,3,3,O
2593,2024-2593,H,I,2,1,F
2592,2024-2592,H,X,4,2,F
2591,2024-2591,Q,O,4,1,O
2590,2024-2590,U,Q,1,1,F
2589,2024-2589,A,M,2,5,O
2588,2024-2588,O,O,3,1,F
2587,2024-2587,B,H,4,3,F
2586,2024-2586,D,L,1,1,F
2585,2024-2585,S,S,1,4,M
2584,2024-2584,T,G,1,1,F
2583,2024-2583,G,G,1,2,M
2582,2024-2582,P,F,4,5,F
2581,2024-2581,U,B,1,1,M
2580,2024-2580,H,D,1,5,F
2579,2024-2579,W,R,3,1,O
2578,2024-2578,P,I,4,4,M
2577,2024-2577,Y,A,2,5,F
2576,2024-2576,D,B,4,3,O
2575,2024-2575,N,R,1,1,O
2574,2024-2574,M,R,3,4,M
2573,2024-2573,O,Y,4,2,F
2572,2024-2572,Q,T,2,3,F
2571,2024-2571,J,F,4,4,O
2570,2024-2570,A,P,3,4,F
2569,2024-2569,G,P,2,2,F
2568,2024-2568,J,Q,3,5,F
2567,2024-2567,R,H,1,2,F
2566,2024-2566,Z,H,3,5,F
2565,2024-2565,Z,J,3,1,M
2564,2024-2564,U,B,4,3,F
2563,2024-2563,A,K,1,1,F
2562,2024-2562,H,I,1,3,M
2561,2024-2561,A,B,3,2,F
2560,2024-2560,Q,P,3,3,O
2559,2024-2559,G,F,2,3,M
2558,2024-2558,R,P,2,4,O
2557,2024-2557,C,E,2,2,O
2556,2024-2556,Y,D,4,1,M
2555,2024-2555,A,N,3,1,O
2554,2024-2554,F,C,4,2,M
2553,2024-2553,R,K,1,4,M
2552,2024-2552,U,B,1,1,M
2551,2024-2551,S,Z,4,5,F
2550,2024-2550,T,V,2,5,O
2549,2024-2549,K,E,4,2,F
2548,2024-2548,U,Y,4,5,F
2547,2024-2547,P,N,3,2,M
2546,2024-2546,M,D,4,1,M
2545,2024-2545,H,V,3,2,M
2544,2024-2544,E,W,2,2,F
2543,2024-2543,A,G,3,5,F
2542,2024-2542,S,N,1,4,M
2541,2024-2541,M,S,2,2,F
2540,2024-2540,S,O,4,5,F
2539,2024-2539,D,P,1,5,F
2538,2024-2538,H,I,1,2,O
2537,2024-2537,G,C,3,2,O
2536,2024-2536,U,X,1,3,M
2535,2024-2535,D,G,3,3,F
2534,2024-2534,J,H,1,1,F
2533,2024-2533,P,L,2,2,F
2532,2024-2532,A,T,3,1,M
2531,2024-2531,S,V,1,2,F
2530,2024-2530,Z,A,2,2,O
2529,2024-2529,N,P,1,4,M
2528,2024-2528,L,G,2,1,O
2527,2024-2527,X,F,3,1,M
2526,2024-2526,A,X,1,5,F
2525,2024-2525,P,X,2,1,M
2524,2024-2524,X,V,3,1,F
2523,2024-2523,I,O,3,2,M
2522,2024-2522,O,Z,1,5,M
2521,2024-2521,O,L,4,2,F
2520,2024-2520,C,L,3,1,M
2519,2024-2519,F,V,4,1,F
2518,2024-2518,K,V,4,2,O
2517,2024-2517,E,F,1,2,M
2516,2024-2516,E,Z,4,1,O
2515,2024-2515,Z,X,4,4,M
2514,2024-2514,O,G,1,4,O
2513,2024-2513,J,U,3,4,F
2512,2024-2512,G,I,1,3,O
2511,2024-2511,Y,O,3,5,M
2510,2024-2510,Z,Q,2,2,O
2509,2024-2509,G,P,4,5,O
2508,2024-2508,F,S,4,2,O
2507,2024-2507,H,H,4,5,M
2506,2024-2506,N,I,2,5,O
2505,2024-2505,D,I,2,3,F
2504,2024-2504,D,T,2,4,M
2503,2024-2503,K,S,1,5,M
2502,2024-2502,P,I,1,5,M
2501,2024-2501,Y,L,3,2,M
2500,2024-2500,H,N,1,5,O
2499,2024-2499,I,F,1,5,F
2498,2024-2498,Z,K,3,4,M
2497,2024-2497,F,R,3,2,F
2496,2024-2496,W,H,2,5,F
2495,2024-2495,N,S,4,3,O
2494,2024-2494,U,U,3,2,F
2493,2024-2493,E,P,4,2,M
2492,2024-2492,D,K,1,2,O
2491,2024-2491,Q,D,1,1,M
2490,2024-2490,W,E,1,3,O
2489,2024-2489,L,H,1,4,F
2488,2024-2488,F,M,4,5,M
2487,2024-2487,R,A,4,2,O
2486,2024-2486,K,C,4,4,F
2485,2024-2485,S,F,1,3,F
2484,2024-2484,V,D,4,5,F
2483,2024-2483,Y,D,1,1,F
2482,2024-2482,O,B,3,1,O
2481,2024-2481,G,T,1,4,M
2480,2024-2480,N,I,2,5,M
2479,2024-2479,D,N,4,2,F
2478,2024-2478,L,C,3,4,M
2477,2024-2477,T,Z,4,5,F
2476,2024-2476,N,D,3,3,M
2475,2024-2475,Z,M,4,3,M
2474,2024-2474,I,O,4,1,O
2473,2024-2473,P,A,4,3,O
2472,2024-2472,Z,Q,3,4,F
2471,2024-2471,I,T,3,3,M
2470,2024-2470,P,P,3,2,M
2469,2024-2469,A,G,2,2,F
2468,2024-2468,Z,H,4,4,M
2467,2024-2467,A,G,1,3,O
2466,2024-2466,V,H,1,3,M
2465,2024-2465,G,F,2,2,F
2464,2024-2464,R,A,3,2,O
2463,2024-2463,P,V,3,3,O
2462,2024-2462,Q,L,4,2,O
2461,2024-2461,R,R,2,1,F
2460,2024-2460,Y,R,3,4,F
2459,2024-2459,E,N,3,4,M
2458,2024-2458,D,A,1,1,F
2457,2024-2457,Q,T,4,5,F
2456,2024-2456,M,A,1,4,F
2455,2024-2455,M,D,3,2,M
2454,2024-2454,Z,K,4,5,F
2453,2024-2453,K,G,1,1,M
2452,2024-2452,N,R,2,4,O
2451,2024-2451,J,R,2,5,O
2450,2024-2450,N,V,4,2,F
2449,2024-2449,D,V,4,3,F
2448,2024-2448,C,V,4,3,O
2447,2024-2447,D,Q,4,5,M
2446,2024-2446,I,R,1,4,O
2445,2024-2445,C,A,2,5,O
2444,2024-2444,I,G,4,1,M
2443,2024-2443,G,Y,3,1,M
2442,2024-2442,K,V,4,2,F
2441,2024-2441,Y,M,3,5,F
2440,2024-2440,W,P,2,2,O
2439,2024-2439,F,D,3,2,M
2438,2024-2438,G,V,2,3,F
2437,2024-2437,I,E,2,4,M
2436,2024-2436,D,O,3,2,F
2435,2024-2435,G,J,3,5,M
2434,2024-2434,B,Z,4,4,F
2433,2024-2433,N,B,1,4,O
2432,2024-2432,R,K,1,5,F
2431,2024-2431,M,B,2,1,F
2430,2024-2430,S,K,1,2,M
2429,2024-2429,A,C,4,5,O
2428,2024-2428,Y,P,2,4,M
2427,2024-2427,B,L,2,2,O
2426,2024-2426,U,E,4,2,F
2425,2024-2425,Y,X,4,3,F
2424,2024-2424,F,V,2,2,F
2423,2024-2423,Z,P,4,3,F
2422,2024-2422,V,P,1,3,M
2421,2024-2421,E,J,1,1,O
2420,2024-2420,V,H,4,1,O
2419,2024-2419,M,O,1,2,F
2418,2024-2418,V,H,4,1,O
2417,2024-2417,I,G,3,3,F
2416,2024-2416,P,I,3,1,M
2415,2024-2415,B,I,2,5,F
2414,2024-2414,S,Y,1,2,M
2413,2024-2413,U,B,3,1,F
2412,2024-2412,O,O,2,1,F
2411,2024-2411,X,A,1,1,O
2410,2024-2410,H,Y,2,3,M
2409,2024-2409,B,H,4,5,O
2408,2024-2408,H,Y,3,1,O
2407,2024-2407,Q,D,2,5,M
2406,2024-2406,N,D,1,5,M
2405,2024-2405,O,I,4,3,M
2404,2024-2404,G,R,2,3,F
2403,2024-2403,N,F,4,3,F
2402,2024-2402,Q,L,2,4,F
2401,2024-2401,V,R,3,5,M
2400,2024-2400,G,C,1,3,O
2399,2024-2399,R,H,3,5,O
2398,2024-2398,P,Q,2,1,O
2397,2024-2397,V,I,2,5,F
2396,2024-2396,U,T,2,5,O
2395,2024-2395,V,D,1,1,O
2394,2024-2394,V,W,2,2,O
2393,2024-2393,X,J,3,1,O
2392,2024-2392,K,U,3,5,O
2391,2024-2391,S,B,4,4,M
2390,2024-2390,N,U,3,5,O
2389,2024-2389,E,P,4,5,F
2388,2024-2388,X,Q,2,5,M
2387,2024-2387,J,A,1,3,O
2386,2024-2386,U,O,2,1,M
2385,2024-2385,I,D,4,5,O
2384,2024-2384,P,Y,2,5,O
2383,2024-2383,J,Y,3,5,M
2382,2024-2382,O,R,3,5,M
2381,2024-2381,M,Z,3,4,M
2380,2024-2380,U,D,1,4,O
2379,2024-2379,J,V,2,5,M
2378,2024-2378,X,S,1,1,F
2377,2024-2377,X,V,3,1,O
2376,2024-2376,C,O,2,5,F
2375,2024-2375,H,J,2,2,F
2374,2024-2374,Z,V,4,1,M
2373,2024-2373,Q,R,2,3,M
2372,2024-2372,V,N,3,1,M
2371,2024-2371,D,R,1,4,F
2370,2024-2370,B,U,1,1,O
2369,2024-2369,U,E,2,3,O
2368,2024-2368,S,Y,3,1,F
2367,2024-2367,A,L,1,3,M
2366,2024-2366,Y,Q,3,1,F
2365,2024-2365,A,F,3,2,M
2364,2024-2364,T,I,1,5,M
2363,2024-2363,G,F,3,2,O
2362,2024-2362,Y,A,2,4,M
2361,2024-2361,T,J,2,1,M
2360,2024-2360,B,O,4,2,M
2359,2024-2359,A,Y,1,4,F
2358,2024-2358,Q,E,4,4,O
1109,2024-1109,Q,U,2,3,F
1108,2024-1108,W,R,1,4,M
1107,2024-1107,B,F,2,1,O
1106,2024-1106,Z,Z,1,2,F
1105,2024-1105,U,S,2,5,O
1104,2024-1104,Q,W,3,1,F
1103,2024-1103,S,B,4,5,F
1102,2024-1102,C,W,4,5,F
1101,2024-1101,M,G,1,5,O
1100,2024-1100,A,H,3,2,F
1099,2024-1099,S,B,4,2,O
1098,2024-1098,K,K,3,4,F
1097,2024-1097,B,L,3,3,O
1096,2024-1096,K,Z,4,3,F
1095,2024-1095,Y,L,3,1,M
1094,2024-1094,D,O,4,4,O
1093,2024-1093,Q,O,1,2,O
1092,2024-1092,B,W,3,4,M
1091,2024-1091,S,N,4,5,F
1090,2024-1090,B,N,2,1,M
1089,2024-1089,V,T,3,4,M
1088,2024-1088,B,O,3,5,O
1087,2024-1087,Q,R,4,3,O
1086,2024-1086,Y,T,4,3,F
1085,2024-1085,G,L,4,2,F
1084,2024-1084,U,A,4,1,M
1083,2024-1083,O,P,1,3,M
1082,2024-1082,Z,G,4,1,M
1081,2024-1081,J,C,2,5,M
1080,2024-1080,L,A,3,4,M
1079,2024-1079,W,W,2,1,M
1078,2024-1078,V,C,3,3,O
1077,2024-1077,L,A,2,5,F
1076,2024-1076,S,V,3,5,F
1075,2024-1075,P,I,4,2,M
1074,2024-1074,H,E,2,5,F
1073,2024-1073,C,Z,2,3,O
1072,2024-1072,J,M,4,5,F
1071,2024-1071,E,X,3,1,O
1070,2024-1070,X,F,2,2,O
1069,2024-1069,Q,A,1,5,M
1068,2024-1068,U,V,2,4,O
1067,2024-1067,T,Q,2,3,M
1066,2024-1066,X,I,3,1,O
1065,2024-1065,T,K,3,4,O
1064,2024-1064,U,X,2,1,M
1063,2024-1063,K,X,1,4,M
1062,2024-1062,E,Y,4,4,M
1061,2024-1061,M,V,4,1,O
1060,2024-1060,W,V,3,5,M
1059,2024-1059,W,R,2,1,O
1058,2024-1058,S,S,1,5,F
1057,2024-1057,M,H,2,4,O
1056,2024-1056,D,D,4,1,M
1055,2024-1055,M,H,2,3,F
1054,2024-1054,M,D,2,1,M
1053,2024-1053,I,E,1,1,M
1052,2024-1052,I,M,4,2,O
1051,2024-1051,E,A,1,5,O
1050,2024-1050,V,R,1,4,M
1049,2024-1049,V,R,1,1,O
1048,2024-1048,Q,G,2,5,F
1047,2024-1047,Z,R,4,4,F
1046,2024-1046,O,L,3,1,M
1045,2024-1045,C,U,4,1,O
1044,2024-1044,Z,V,3,2,F
1043,2024-1043,A,B,2,3,M
1042,2024-1042,Q,D,1,3,F
1041,2024-1041,O,S,1,4,M
1040,2024-1040,M,O,3,2,M
1039,2024-1039,I,C,3,4,O
1038,2024-1038,F,N,4,4,O
1037,2024-1037,X,Q,1,1,O
1036,2024-1036,D,R,2,2,M
1035,2024-1035,T,I,1,2,O
1034,2024-1034,S,I,1,4,M
1033,2024-1033,K,Z,3,3,M
1032,2024-1032,P,B,3,2,O
1031,2024-1031,T,V,2,4,O
1030,2024-1030,K,L,1,5,O
1029,2024-1029,P,R,3,1,O
